,team,playerid,name,assists,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,round,saves,team_a_score,team_h_score,threat,total_points,value,was_home,yellow_cards,GW,fdr
2280,15,297,John_Lundstram_297,0,1,11.7,0,0,4.6,9.8,69,19,22,0,0.0,1.0,24.0,6,51,True,0,22,2.0
2281,15,301,John_Fleck_301,1,1,40.4,0,0,8.8,28.6,90,19,22,0,0.0,1.0,19.0,9,49,True,0,22,2.0
2282,16,313,Danny_Ings_313,0,0,11.4,1,1,15.7,42.8,90,9,22,0,2.0,1.0,103.0,5,67,False,1,22,3.0
2283,16,318,Alex_McCarthy_318,0,0,0.0,1,0,2.9,29.0,90,9,22,4,2.0,1.0,0.0,3,43,False,0,22,3.0
2284,16,320,Nathan_Redmond_320,0,0,33.5,1,0,5.4,16.8,90,9,22,0,2.0,1.0,4.0,2,62,False,0,22,3.0
2285,16,321,James_Ward-Prowse_321,0,0,5.7,1,0,2.2,8.6,90,9,22,0,2.0,1.0,8.0,2,59,False,0,22,3.0
2286,17,336,Serge_Aurier_336,0,0,40.3,1,0,8.4,24.4,90,10,22,0,1.0,0.0,19.0,2,51,True,0,22,5.0
2287,17,338,Harry_Kane_338,0,0,0.0,0,0,0.0,0.0,0,10,22,0,1.0,0.0,0.0,0,109,True,0,22,5.0
2288,17,342,Heung-Min_Son_342,0,0,2.7,1,0,3.5,2.6,90,10,22,0,1.0,0.0,30.0,2,98,True,0,22,5.0
2289,17,344,Bamidele_Alli_344,0,0,12.1,1,0,3.0,7.6,90,10,22,0,1.0,0.0,10.0,2,87,True,0,22,5.0
2290,18,362,Troy_Deeney_362,0,1,43.5,0,1,14.0,50.4,90,3,22,0,3.0,0.0,46.0,7,62,False,1,22,2.0
2291,18,366,Ben_Foster_366,0,1,0.0,0,0,0.6,6.0,90,3,22,1,3.0,0.0,0.0,6,48,False,0,22,2.0
2292,18,368,Abdoulaye_Doucouré_368,1,1,38.4,0,1,15.3,61.8,85,3,22,0,3.0,0.0,53.0,14,56,False,0,22,2.0
2293,19,389,Michail_Antonio_389,0,0,0.0,0,0,0.0,0.0,0,15,22,0,0.0,1.0,0.0,0,69,False,0,22,2.0
2294,19,395,Declan_Rice_395,0,0,1.6,1,0,1.7,15.8,90,15,22,0,0.0,1.0,0.0,2,47,False,0,22,2.0
2295,19,396,Mark_Noble_396,0,0,2.3,1,0,0.9,6.2,90,15,22,0,0.0,1.0,0.0,2,50,False,0,22,2.0
2296,20,401,Matt_Doherty_401,0,0,3.3,1,0,2.2,0.6,90,13,22,0,1.0,1.0,18.0,2,61,True,0,22,2.0
2297,20,402,Jonathan_Castro Otto_402,0,0,3.9,1,0,1.5,8.6,90,13,22,0,1.0,1.0,2.0,2,54,True,0,22,2.0
2298,20,403,Conor_Coady_403,0,0,0.4,1,0,2.1,21.0,90,13,22,0,1.0,1.0,0.0,2,50,True,0,22,2.0
2299,20,407,Romain_Saïss_407,0,0,1.3,1,0,2.5,23.6,90,13,22,0,1.0,1.0,0.0,2,44,True,0,22,2.0
2300,20,409,Raúl_Jiménez_409,0,0,5.4,1,0,7.8,5.8,90,13,22,0,1.0,1.0,67.0,2,75,True,0,22,2.0
2301,20,410,Diogo_Jota_410,0,0,0.0,0,0,0.0,0.0,0,13,22,0,1.0,1.0,0.0,0,61,True,0,22,2.0
2302,20,411,Rui Pedro_dos Santos Patrício_411,0,0,0.0,1,0,0.2,1.8,90,13,22,0,1.0,1.0,0.0,2,52,True,0,22,2.0
2303,20,415,João Filipe Iria_Santos Moutinho_415,1,0,26.4,1,0,5.4,27.4,90,13,22,0,1.0,1.0,0.0,6,54,True,0,22,2.0
2304,20,417,Adama_Traoré_417,0,0,26.4,1,0,4.7,14.6,90,13,22,0,1.0,1.0,6.0,2,57,True,0,22,2.0
2305,4,421,Leandro_Trossard_421,0,0,16.7,1,0,4.2,12.4,90,8,22,0,0.0,1.0,13.0,2,58,False,0,22,3.0
2306,15,423,Chris_Basham_423,0,1,1.3,0,0,1.5,13.4,90,19,22,0,0.0,1.0,0.0,6,45,True,0,22,2.0
2307,6,431,Christian_Pulisic_431,0,0,0.0,0,0,0.0,0.0,0,5,22,0,0.0,3.0,0.0,0,70,True,0,22,3.0
2308,9,448,Youri_Tielemans_448,0,0,11.0,1,0,1.4,3.4,13,16,22,0,2.0,1.0,0.0,1,63,True,0,22,3.0
2309,19,457,Sébastien_Haller_457,0,0,6.3,1,0,2.2,2.0,90,15,22,0,0.0,1.0,14.0,2,70,False,0,22,2.0
2310,6,460,Tammy_Abraham_460,0,1,11.1,0,1,13.1,37.4,90,5,22,0,0.0,3.0,82.0,6,78,True,0,22,3.0
2311,6,463,Mason_Mount_463,0,1,46.3,0,0,10.2,25.6,90,5,22,0,0.0,3.0,30.0,3,63,True,0,22,3.0
2312,7,468,Jordan_Ayew_468,0,0,12.9,1,1,7.6,37.6,90,1,22,0,1.0,1.0,25.0,9,50,True,0,22,3.0
2313,15,471,Dean_Henderson_471,0,1,0.0,0,0,1.5,14.8,90,19,22,2,0.0,1.0,0.0,6,49,True,0,22,2.0
2314,1,488,Nicolas_Pépé_488,0,0,16.0,1,0,4.9,10.2,90,7,22,0,1.0,1.0,23.0,1,91,False,1,22,2.0
2315,3,494,Aaron_Ramsdale_494,0,0,0.0,0,0,0.0,0.0,0,18,22,0,3.0,0.0,0.0,0,47,True,0,22,2.0
2316,4,502,Neal_Maupay_502,0,0,2.8,1,0,2.6,1.0,90,8,22,0,0.0,1.0,22.0,2,58,False,0,22,3.0
2317,18,525,Ismaïla_Sarr_525,1,1,24.3,0,0,6.6,21.2,81,3,22,0,3.0,0.0,20.0,6,62,False,0,22,2.0
2318,12,618,Bruno Miguel_Borges Fernandes_618,0,0,0.0,0,0,0.0,0.0,0,0,22,0,0.0,0.0,0.0,0,0,True,0,22,-1.0
2319,1,11,Pierre-Emerick_Aubameyang_11,0,0,0.0,0,0,0.0,0.0,0,15,23,0,1.0,1.0,0.0,0,107,True,0,23,2.0
2320,1,12,Alexandre_Lacazette_12,0,1,11.5,0,0,1.6,1.2,73,15,23,0,1.0,1.0,3.0,2,93,True,0,23,2.0
2321,1,14,Bernd_Leno_14,0,0,0.0,1,0,1.7,16.6,90,15,23,2,1.0,1.0,0.0,2,50,True,0,23,2.0
2322,2,29,Jack_Grealish_29,0,0,18.5,1,1,8.3,33.4,90,4,23,0,1.0,1.0,31.0,10,65,False,0,23,2.0
2323,3,42,Lewis_Dunk_42,0,0,10.7,1,0,4.6,13.0,90,2,23,0,1.0,1.0,22.0,1,48,True,1,23,2.0
2324,3,47,Mathew_Ryan_47,0,0,0.0,1,0,1.7,17.4,90,2,23,2,1.0,1.0,0.0,2,49,True,0,23,2.0
2325,4,67,Callum_Wilson_67,0,0,3.4,1,0,4.9,4.4,90,14,23,0,0.0,1.0,41.0,1,74,False,1,23,1.0
2326,5,83,Ben_Mee_83,1,0,0.8,1,0,5.2,12.2,90,9,23,0,1.0,2.0,39.0,4,50,True,1,23,3.0
2327,5,84,James_Tarkowski_84,0,0,0.4,1,0,2.9,26.6,90,9,23,0,1.0,2.0,2.0,2,51,True,0,23,3.0
2328,5,91,Chris_Wood_91,0,0,2.2,1,1,8.8,30.4,90,9,23,0,1.0,2.0,55.0,7,62,True,0,23,3.0
2329,5,93,Nick_Pope_93,0,0,0.0,1,0,7.4,74.2,90,9,23,7,1.0,2.0,0.0,12,46,True,0,23,3.0
2330,5,97,Dwight_McNeil_97,0,0,20.0,1,0,3.9,7.4,90,9,23,0,1.0,2.0,12.0,2,60,True,0,23,3.0
2331,5,101,Ashley_Westwood_101,0,0,2.3,1,1,6.1,41.8,90,9,23,0,1.0,2.0,17.0,9,54,True,0,23,3.0
2332,6,105,César_Azpilicueta_105,0,0,15.6,1,0,6.0,15.0,90,13,23,0,0.0,1.0,29.0,2,58,False,0,23,2.0
2333,6,113,Willian_Borges Da Silva_113,0,0,58.7,1,0,11.6,21.4,90,13,23,0,0.0,1.0,36.0,2,72,False,0,23,2.0
2334,12,122,Aaron_Wan-Bissaka_122,0,0,22.6,2,0,5.9,24.2,90,10,23,0,0.0,2.0,12.0,1,53,False,0,23,5.0
2335,7,123,Patrick_van Aanholt_123,0,0,0.0,0,0,0.0,0.0,0,11,23,0,2.0,2.0,0.0,0,55,False,0,23,5.0
2336,7,131,Vicente_Guaita_131,0,0,0.0,2,0,3.5,35.2,90,11,23,4,2.0,2.0,0.0,2,51,False,0,23,5.0
2337,7,133,Wilfried_Zaha_133,1,0,11.7,2,0,4.9,11.8,90,11,23,0,2.0,2.0,25.0,5,68,False,0,23,5.0
2338,8,141,Lucas_Digne_141,0,0,66.3,1,0,9.8,27.4,90,19,23,0,1.0,1.0,4.0,2,57,False,0,23,2.0
2339,8,147,Dominic_Calvert-Lewin_147,0,0,7.9,1,1,11.3,29.2,90,19,23,0,1.0,1.0,76.0,8,59,False,0,23,2.0
2340,8,148,Jordan_Pickford_148,0,0,0.0,1,0,2.8,28.4,90,19,23,4,1.0,1.0,0.0,3,53,False,0,23,2.0
2341,8,150,Richarlison_de Andrade_150,0,0,0.0,0,0,0.0,0.0,0,19,23,0,1.0,1.0,0.0,0,81,False,0,23,2.0
2342,9,159,Ricardo Domingos_Barbosa Pereira_159,0,0,28.3,2,0,6.8,27.6,90,5,23,0,1.0,2.0,12.0,1,64,False,0,23,3.0
2343,9,160,Harry_Maguire_160,0,0,0.8,2,0,2.5,22.4,90,10,23,0,0.0,2.0,2.0,1,52,False,0,23,5.0
